City,Neighborhood,Studio,1BR,2BR,Budget
"Boston, MA",Allston,,1875.00,2600.00,Cheap
"Boston, MA",Back Bay East,,2850.00,4950.00,Pricey
"Boston, MA",Back Bay West,,2675.00,,Pricey
"Boston, MA",Bay Village,,3900.00,6565.00,Pricey
"Boston, MA",Beacon Hill,,2395.00,2950.00,Average
"Boston, MA",Blue Hills Reservation,,2145.00,2540.00,Average
"Boston, MA",Brighton,1625.00,1875.00,2360.00,Cheap
"Boston, MA",Brookline,,2398.00,2688.00,Average
"Boston, MA",Burlington,,2000.00,,Cheap
"Boston, MA",Cambridgeport,,2903.00,,Pricey
"Boston, MA",Chinatown - Leather District,,2963.00,,Pricey
"Boston, MA",Columbus,,2600.00,3200.00,Average
"Boston, MA",D Street - West Broadway,2760.00,3232.00,3907.00,Pricey
"Boston, MA",Davis Square,,2250.00,,Average
"Boston, MA",Downtown Boston,2838.00,3355.00,4541.00,Pricey
"Boston, MA",East Boston,,1774.00,2200.00,Cheap
"Boston, MA",East Cambridge,,3080.00,3555.00,Pricey
"Boston, MA",Harrison Lenox,,2875.00,3400.00,Pricey
"Boston, MA",Malden,1500.00,1675.00,2100.00,Cheap
"Boston, MA",Mid-Cambridge,2030.00,2300.00,2725.00,Average
"Boston, MA",Mission Hill,,2250.00,2598.00,Average
"Boston, MA",Neighborhood Nine,,2478.00,2900.00,Average
"Boston, MA",Newton Center,,1938.00,2400.00,Cheap
"Boston, MA",North Cambridge,,2749.00,3382.00,Pricey
"Boston, MA",North End,,2400.00,2830.00,Average
"Boston, MA",Oak Square,,1775.00,2200.00,Cheap
"Boston, MA",Prudential - St. Botolph,,3270.00,6288.00,Pricey
"Boston, MA",Quincy,,1595.00,2200.00,Cheap
"Boston, MA",Roxbury,,1850.00,2650.00,Cheap
"Boston, MA",Seaport District,,3292.00,4307.00,Pricey
"Boston, MA",Shawmut,,3145.00,3740.00,Pricey
"Boston, MA",Somerville,1850.00,2000.00,2550.00,Cheap
"Boston, MA",South Boston,2725.00,3175.00,3747.00,Pricey
"Boston, MA",South End,,2950.00,3350.00,Pricey
"Boston, MA",Spring Hill,,1950.00,2500.00,Cheap
"Boston, MA",Washington Square,,2255.00,2795.00,Average
"Boston, MA",Woburn,,1550.00,,Cheap
"Chicago, IL",Albany Park,,1025.00,1413.00,Cheap
"Chicago, IL",Bucktown,,1700.00,1800.00,Pricey
"Chicago, IL",Central Chicago,1575.00,2575.00,3620.00,Pricey
"Chicago, IL",Chicago,,1750.00,2423.00,Pricey
"Chicago, IL",Sheffield&DePaul,,1650.00,2000.00,Pricey
"Chicago, IL",Edgewater,,1350.00,1700.00,Average
"Chicago, IL",Edgewater Beach,,1364.00,1822.00,Average
"Chicago, IL",Evanston,,1350.00,1450.00,Average
"Chicago, IL",South Chicago,,900.00,1150.00,Cheap
"Chicago, IL",Gold Coast,,1725.00,2900.00,Pricey
"Chicago, IL",Irving Park,,1095.00,1500.00,Cheap
"Chicago, IL",Lincoln Park,,1625.00,2190.00,Average
"Chicago, IL",Marquette Park,,1359.00,,Average
"Chicago, IL",Near East Side,1874.00,1870.00,2783.00,Pricey
"Chicago, IL",North Center,,1350.00,1825.00,Average
"Chicago, IL",North Side,1295.00,1450.00,2150.00,Average
"Chicago, IL",Old Town,,2067.00,2900.00,Pricey
"Chicago, IL",Old Town Triangle,,2197.00,3277.00,Pricey
"Chicago, IL",Palatine,,1530.00,2100.00,Average
"Chicago, IL",Park West,,1615.00,1925.00,Average
"Chicago, IL",Pilsen,,1500.00,1400.00,Average
"Chicago, IL",Ravenswood,,1300.00,1673.00,Cheap
"Chicago, IL",River North,1874.00,2411.00,3324.00,Pricey
"Chicago, IL",Rogers Park,,1067.00,1428.00,Cheap
"Chicago, IL",Sheffield Neighbors,,1575.00,1998.00,Average
"Chicago, IL",South East Ravenswood,,1425.00,1700.00,Average
"Chicago, IL",South Loop,,2690.00,3650.00,Pricey
"Chicago, IL",South Shore,,825.00,970.00,Cheap
"Chicago, IL",Streeterville,1948.00,2250.00,3650.00,Pricey
"Chicago, IL",The Loop,1960.00,1921.00,2813.00,Pricey
"Chicago, IL",West Loop,1688.00,1967.00,,Pricey
"Chicago, IL",West Rogers Park,,1020.00,1365.00,Cheap
"Chicago, IL",West Town,1623.00,1850.00,1875.00,Pricey
"Chicago, IL",Wheaton,,1131.00,,Cheap
"Chicago, IL",Wrightwood,,1675.00,1995.00,Pricey
"Dallas-Fort Worth, TX",Addison,,1132.00,,Average
"Dallas-Fort Worth, TX",Galleria,,1315.00,1588.00,Pricey
"Dallas-Fort Worth, TX",Central Dallas,,1444.00,2198.00,Pricey
"Dallas-Fort Worth, TX",CentrePort Business Park,,1336.00,1621.00,Pricey
"Dallas-Fort Worth, TX",City Center District,1602.00,1657.00,1936.00,Pricey
"Dallas-Fort Worth, TX",Planto,,1090.00,1518.00,Average
"Dallas-Fort Worth, TX",Dallas Downtown,,1231.00,1784.00,Pricey
"Dallas-Fort Worth, TX",Deep Ellum,,1106.00,1619.00,Average
"Dallas-Fort Worth, TX",Greenway,,1208.00,1693.00,Pricey
"Dallas-Fort Worth, TX",Las Colinas,,1158.00,,Pricey
"Dallas-Fort Worth, TX",Legends at Ridgeview Ranch Apartments,,1077.00,1431.00,Average
"Dallas-Fort Worth, TX",West Creek Estates,,1435.00,,Pricey
"Dallas-Fort Worth, TX",McKinney,,953.00,1341.00,Cheap
"Dallas-Fort Worth, TX",Oak Lawn,,1495.00,2346.00,Pricey
"Dallas-Fort Worth, TX",Prestonwood,,1242.00,,Pricey
"Dallas-Fort Worth, TX",The Fairways,,718.00,,Cheap
"Dallas-Fort Worth, TX",Waxahachie,,3745.00,,Pricey
