,City,Neighborhood,Studio,1BR,2BR,Budget,Locations,0_l-1,0_l-2,0_l-3,dem-1,dem-2,dem-3,dem-4,dem-5,dem-6,dem-7,dem-8,dem-9,dem-10,eng-1,eng-2,eng-3,eng-4,env-1,env-2,env-3,env-4,hea-1,hea-2,hea-3,hea-4,hea-5,liv-1,liv-2,liv-3,liv-4,liv-5,liv-6,liv-7,nei-1,nei-2,nei-3,nei-4,nei-5,nei-6,nei-7,nei-8,nei-9,opp-1,opp-2,opp-3,opp-4,tra-1,tra-2,tra-3,tra-4,tra-5,tra-6,tra-7
0,"Boston, MA",Allston,,1875,2600,Cheap,"Allston, Boston, MA",42.3539038,"Allston, Boston, MA",-71.1337112,79,37981,11,0,14,10,12,31,32,1496,96,0.087,7.208,0.974,0.333,0,0,46.5,99.6,0,19.8,49.93,19.1,57,61,70,50,78,23,87,17,1,2,26458,223696,357,0.758,54369,23.7,0.55,71,0.533,0.873,78.2,34.683,2.487,294,9816,25.46,1.47
1,"Boston, MA",Back Bay East,,2850,4950,Pricey,"Back Bay East, Boston, MA",42.3521337,"Back Bay East, Boston, MA",-71.0780044,79,103681,35,14,0,11,12,6,6,854,17.9,0.082,7.208,0.974,0.333,0,0,19.8,99.6,0,17.2,49.93,10,48,66,81,43,82,35,97,11,1,3,42388,252894,357,0.902,102872,16.9,0.808,71,0.533,0.873,78.2,34.683,2.783,223,8428,26.78,2.31
2,"Boston, MA",Back Bay West,,2675,,Pricey,"Back Bay West, Boston, MA",42.3494093,"Back Bay West, Boston, MA",-71.0898892,79,92500,28,12,4,8,12,7,29,1421,58.3,0.08,7.208,0.974,0.333,0,0,100,99.6,0,15.5,49.93,14.2,52,48,78,41,74,30,84,10,0,3,47203,274294,357,0.908,91593,14,0.71,71,0.533,0.873,78.2,34.683,2.651,214,7670,38.82,1.88
3,"Boston, MA",Bay Village,,3900,6565,Pricey,"Bay Village, Boston, MA",42.3489568,"Bay Village, Boston, MA",-71.0698335,79,192763,48,32,0,15,12,0,12,784,70.2,0.084,7.208,0.974,0.333,0,0,31.2,99.6,0,18.8,49.93,12,54,64,77,64,77,22,98,19,0,7,67268,275390,357,0.885,112610,17.9,0.534,71,0.533,0.873,78.2,34.683,2.685,279,8988,26.38,4.06
4,"Boston, MA",Beacon Hill,,2395,2950,Average,"Beacon Hill, Boston, MA",42.3587999,"Beacon Hill, Boston, MA",-71.0707389,79,103281,37,17,0,8,12,0,5,959,49.8,0.083,7.208,0.974,0.333,0,0,100,99.6,0,17,49.93,8.4,52,48,83,43,85,37,99,9,1,7,49891,280554,357,0.9,87103,6.8,0.84,71,0.533,0.873,78.2,34.683,2.628,63.333,7479,25.95,4.64
5,"Boston, MA",Blue Hills Reservation,,2145,2540,Average,"Blue Hills Reservation, Boston, MA",42.215952,"Blue Hills Reservation, Boston, MA",-71.0676048,81,67188,31,15,11,18,10,2,13,2059,0,0.175,6.732,0.974,2.333,8.2,5.09E-09,8,95.7,0,23.3,56.542,17.2,53,22,60,34,62,71,27,0,0,1,465,142967,140,0.877,8114,3.4,0.974,90,0.475,0.873,78.3,34.683,4.904,0,13880,42.15,0.49
6,"Boston, MA",Brighton,1625,1875,2360,Cheap,"Brighton, Boston, MA",42.3463503,"Brighton, Boston, MA",-71.1626756,79,71863,32,10,11,31,12,1,6,1841,69.7,0.1,7.208,0.974,0.333,0,0,0,99.6,0,18.7,49.93,15.2,55,82,74,44,77,35,59,5,1,5,12647,140477,357,0.541,15540,3.5,0.803,71,0.533,0.873,78.2,34.683,1.768,0,11215,26.01,0.79
7,"Boston, MA",Brookline,,2398,2688,Average,"Brookline, Boston, MA",42.3317642,"Brookline, Boston, MA",-71.1211635,81,126207,22,4,1,12,10,8,4,1484,89.3,0.083,6.732,0.974,2.333,8.2,0,77.7,95.7,0,19.9,49.93,16.2,65,33,69,34,83,63,84,6,1,9,27181,162041,140,0.529,44268,11.8,0.857,92,0.475,0.873,78.3,34.683,2.466,119,10272,27.06,1.69
8,"Boston, MA",Burlington,,2000,,Cheap,"Burlington, Boston, MA",42.5047161,"Burlington, Boston, MA",-71.1956205,81,85859,31,12,0,11,9,10,7,2964,90.9,0.363,6.51,0.974,0.333,11.3,0,0,96.6,0,22.2,52.16,15.8,73,63,65,38,69,66,44,1,1,3,2642,106705,160,0.797,0,10.2,0.881,93,0.473,0.873,78.2,34.683,3.282,0,13818,26.17,0.53
9,"Boston, MA",Cambridgeport,,2903,,Pricey,"Cambridgeport, Boston, MA",42.358302,"Cambridgeport, Boston, MA",-71.1095995,81,89844,14,4,8,10,9,15,11,1757,46.6,0.08,6.51,0.974,0.333,11.3,0,0,96.6,0,21.2,33.879,10.9,58,63,74,52,83,62,91,9,1,6,29193,217711,160,0.512,73534,8.8,0.847,92,0.473,0.873,78.2,34.683,2.573,107,9037,25.27,2.06
10,"Boston, MA",Chinatown - Leather District,,2963,,Pricey,"Chinatown - Leather District, Boston, MA",42.3504906,"Chinatown - Leather District, Boston, MA",-71.0579481,79,144219,21,4,0,31,12,4,13,658,17.4,0.087,7.208,0.974,0.333,0,8.48E-09,86.5,99.6,0,16.8,49.93,12.7,49,27,78,49,75,45,74,36,0,6,14672,299025,357,0.894,131794,24.9,0.934,71,0.533,0.873,78.2,34.683,2.619,330,9646,34.26,1.06
11,"Boston, MA",Columbus,,2600,3200,Average,"Columbus, Boston, MA",42.3442847,"Columbus, Boston, MA",-71.0772616,79,92396,35,9,28,8,12,13,11,1188,32.5,0.083,7.208,0.974,0.333,0,0,0,99.6,0,21.5,49.93,13.9,50,82,73,56,88,41,100,19,1,9,48218,223122,357,0.935,93558,3.2,0.883,71,0.533,0.873,78.2,34.683,2.605,271,8192,25.87,2.88
12,"Boston, MA",D Street - West Broadway,2760,3232,3907,Pricey,"D Street - West Broadway, Boston, MA",42.340677,"D Street - West Broadway, Boston, MA",-71.0485931,79,81627,23,7,1,4,12,4,4,2009,36.4,0.094,7.208,0.974,0.333,0,0.0014858,20,99.6,0,17.1,49.93,11.6,51,61,79,45,63,30,72,3,0,0,11269,239366,357,0.831,47301,10.3,0.706,71,0.533,0.873,78.2,34.683,2.656,15,9644,29.31,1.25
13,"Boston, MA",Davis Square,,2250,,Average,"Davis Square, Boston, MA",42.3967172,"Davis Square, Boston, MA",-71.1223151,81,107727,26,8,1,1,9,2,11,969,100,0.09,6.51,0.974,0.333,11.3,0,0,96.6,0,19.4,55.727,11.2,64,63,69,42,83,46,82,9,1,2,27565,146286,160,0.824,56842,5.2,0.736,81,0.473,0.873,78.2,34.683,2.259,281,10336,25.95,1.27
14,"Boston, MA",Downtown Boston,2838,3355,4541,Pricey,"Downtown Boston, Boston, MA",42.3557089,"Downtown Boston, Boston, MA",-71.0572053,79,96115,41,1,15,48,12,3,0,485,47,0.086,7.208,0.974,0.333,0,0,51.7,99.6,0,16.8,49.93,12.7,52,60,78,31,74,31,85,40,0,8,36625,338287,357,0.846,126707,51,0.726,71,0.533,0.873,78.2,34.683,2.546,462,13820,29.11,6.38
