0_lat,0_location,0_lon,demographics-life_ex,demographics-median_inc,demographics-pct_50plus,demographics-pct_65plus,demographics-pct_africa,demographics-pct_asian,demographics-pct_disabi,demographics-pct_hispan,demographics-pct_povert,demographics-total_popu,engagement-broadband cost and speed,"engagement-cultural, arts, and entertainment institutions",engagement-opportunity for civic involvement,engagement-social involvement index,environment-air quality index,environment-drinking water quality,environment-local industrial pollution,environment-near-roadway pollution,health-access to exercise opportunities,health-health professional shortage areas,health-obesity prevalence,health-preventable hospitalization rate,health-tobacco use,livability-engagement,livability-environment,livability-health,livability-housing,livability-neighborhood,livability-opportunity,livability-transportation,neighborhood-access to grocery stores,neighborhood-access to libraries,neighborhood-access to parks,neighborhood-activity density,neighborhood-automobile accessibility,neighborhood-crime rates,neighborhood-diversity of destinations,neighborhood-transit accessibility,neighborhood-vacancy rate,opportunity-age diversity,opportunity-high school graduation rate,opportunity-income inequality,opportunity-jobs/worker,transportation-ADA-accessible stations and vehicles,transportation-congestion,transportation-crash rates,transportation-frequency of local transit service,transportation-household transportation costs,transportation-speed limits,transportation-walk trips
42.3539038,"Allston, Boston, MA",-71.1337112,79,37981,11,0,14,10,12,31,32,1496,96.000 percent,0.087 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,46.500 percent,99.600 percent,0.000 priority score,19.800 percent,"49.930 discharges / 1,000 Medicare enrollees",19.100 percent,57,61,70,50,78,23,87,17.000 stores and markets,1.000 libraries,2.000 parks,26458.000 jobs + people / sq. mi.,223696.000 jobs,"357.000 crimes / 10,000 people",0.758 diversity score (0-1 scale),54369.000 jobs,23.700 percent,0.550 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.487 fatal crashes,294.000 buses and trains,9816.000 dollars,25.460 miles per hour,1.470 trips
42.3521337,"Back Bay East, Boston, MA",-71.0780044,79,103681,35,14,0,11,12,6,6,854,17.900 percent,0.082 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,19.800 percent,99.600 percent,0.000 priority score,17.200 percent,"49.930 discharges / 1,000 Medicare enrollees",10.000 percent,48,66,81,43,82,35,97,11.000 stores and markets,1.000 libraries,3.000 parks,42388.000 jobs + people / sq. mi.,252894.000 jobs,"357.000 crimes / 10,000 people",0.902 diversity score (0-1 scale),102872.000 jobs,16.900 percent,0.808 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.783 fatal crashes,223.000 buses and trains,8428.000 dollars,26.780 miles per hour,2.310 trips
42.3494093,"Back Bay West, Boston, MA",-71.0898892,79,92500,28,12,4,8,12,7,29,1421,58.300 percent,0.080 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,100.000 percent,99.600 percent,0.000 priority score,15.500 percent,"49.930 discharges / 1,000 Medicare enrollees",14.200 percent,52,48,78,41,74,30,84,10.000 stores and markets,0.000 libraries,3.000 parks,47203.000 jobs + people / sq. mi.,274294.000 jobs,"357.000 crimes / 10,000 people",0.908 diversity score (0-1 scale),91593.000 jobs,14.000 percent,0.710 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.651 fatal crashes,214.000 buses and trains,7670.000 dollars,38.820 miles per hour,1.880 trips
42.3489568,"Bay Village, Boston, MA",-71.0698335,79,192763,48,32,0,15,12,0,12,784,70.200 percent,0.084 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,31.200 percent,99.600 percent,0.000 priority score,18.800 percent,"49.930 discharges / 1,000 Medicare enrollees",12.000 percent,54,64,77,64,77,22,98,19.000 stores and markets,0.000 libraries,7.000 parks,67268.000 jobs + people / sq. mi.,275390.000 jobs,"357.000 crimes / 10,000 people",0.885 diversity score (0-1 scale),112610.000 jobs,17.900 percent,0.534 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.685 fatal crashes,279.000 buses and trains,8988.000 dollars,26.380 miles per hour,4.060 trips
42.3587999,"Beacon Hill, Boston, MA",-71.0707389,79,103281,37,17,0,8,12,0,5,959,49.800 percent,0.083 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,100.000 percent,99.600 percent,0.000 priority score,17.000 percent,"49.930 discharges / 1,000 Medicare enrollees",8.400 percent,52,48,83,43,85,37,99,9.000 stores and markets,1.000 libraries,7.000 parks,49891.000 jobs + people / sq. mi.,280554.000 jobs,"357.000 crimes / 10,000 people",0.900 diversity score (0-1 scale),87103.000 jobs,6.800 percent,0.840 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.628 fatal crashes,63.333 buses and trains,7479.000 dollars,25.950 miles per hour,4.640 trips
42.215952,"Blue Hills Reservation, Boston, MA",-71.0676048,81,67188,31,15,11,18,10,2,13,2059,0.000 percent,0.175 institutions,6.732 organizations,0.974 involvement index,2.333 days,8.200 percent,0.0000000050900000000000000000 air toxicity index,8.000 percent,95.700 percent,0.000 priority score,23.300 percent,"56.542 discharges / 1,000 Medicare enrollees",17.200 percent,53,22,60,34,62,71,27,0.000 stores and markets,0.000 libraries,1.000 parks,465.000 jobs + people / sq. mi.,142967.000 jobs,"140.000 crimes / 10,000 people",0.877 diversity score (0-1 scale),8114.000 jobs,3.400 percent,0.974 relative diversity,90.000 percent,0.475 coefficient,0.873 jobs / worker,78.300 percent,34.683 hours,4.904 fatal crashes,0.000 buses and trains,13880.000 dollars,42.150 miles per hour,0.490 trips
42.3463503,"Brighton, Boston, MA",-71.1626756,79,71863,32,10,11,31,12,1,6,1841,69.700 percent,0.100 institutions,7.208 organizations,0.974 involvement index,0.333 days,0.000 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,99.600 percent,0.000 priority score,18.700 percent,"49.930 discharges / 1,000 Medicare enrollees",15.200 percent,55,82,74,44,77,35,59,5.000 stores and markets,1.000 libraries,5.000 parks,12647.000 jobs + people / sq. mi.,140477.000 jobs,"357.000 crimes / 10,000 people",0.541 diversity score (0-1 scale),15540.000 jobs,3.500 percent,0.803 relative diversity,71.000 percent,0.533 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,1.768 fatal crashes,0.000 buses and trains,11215.000 dollars,26.010 miles per hour,0.790 trips
42.33176419999999,"Brookline, Boston, MA",-71.1211635,81,126207,22,4,1,12,10,8,4,1484,89.300 percent,0.083 institutions,6.732 organizations,0.974 involvement index,2.333 days,8.200 percent,0.0000000000000000000000000000 air toxicity index,77.700 percent,95.700 percent,0.000 priority score,19.900 percent,"49.930 discharges / 1,000 Medicare enrollees",16.200 percent,65,33,69,34,83,63,84,6.000 stores and markets,1.000 libraries,9.000 parks,27181.000 jobs + people / sq. mi.,162041.000 jobs,"140.000 crimes / 10,000 people",0.529 diversity score (0-1 scale),44268.000 jobs,11.800 percent,0.857 relative diversity,92.000 percent,0.475 coefficient,0.873 jobs / worker,78.300 percent,34.683 hours,2.466 fatal crashes,119.000 buses and trains,10272.000 dollars,27.060 miles per hour,1.690 trips
42.5047161,"Burlington, Boston, MA",-71.1956205,81,85859,31,12,0,11,9,10,7,2964,90.900 percent,0.363 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,22.200 percent,"52.160 discharges / 1,000 Medicare enrollees",15.800 percent,73,63,65,38,69,66,44,1.000 stores and markets,1.000 libraries,3.000 parks,2642.000 jobs + people / sq. mi.,106705.000 jobs,"160.000 crimes / 10,000 people",0.797 diversity score (0-1 scale),0.000 jobs,10.200 percent,0.881 relative diversity,93.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,3.282 fatal crashes,0.000 buses and trains,13818.000 dollars,26.170 miles per hour,0.530 trips
42.35830199999999,"Cambridgeport, Boston, MA",-71.1095995,81,89844,14,4,8,10,9,15,11,1757,46.600 percent,0.080 institutions,6.510 organizations,0.974 involvement index,0.333 days,11.300 percent,0.0000000000000000000000000000 air toxicity index,0.000 percent,96.600 percent,0.000 priority score,21.200 percent,"33.879 discharges / 1,000 Medicare enrollees",10.900 percent,58,63,74,52,83,62,91,9.000 stores and markets,1.000 libraries,6.000 parks,29193.000 jobs + people / sq. mi.,217711.000 jobs,"160.000 crimes / 10,000 people",0.512 diversity score (0-1 scale),73534.000 jobs,8.800 percent,0.847 relative diversity,92.000 percent,0.473 coefficient,0.873 jobs / worker,78.200 percent,34.683 hours,2.573 fatal crashes,107.000 buses and trains,9037.000 dollars,25.270 miles per hour,2.060 trips
